check_stop,sentiment
next bulan turun banyak tidak salah,neutral
kerajaan pkp selamat baru tidak rakyat meninggal dunia tidak pkp boleh,negative
mangsa salah sorg suami positif covid diward icu susah bernafas harap berdoa bukan mengeluh bersyukur tidak kena keluarga jaga diri family banyak berdoa musibah tanpa duga wlpn berjaga jaga allahu 😭 😭,negative
alhamdulillah patuh arahan kerajaan bantu frontliner tidak lama sambut ramadhan syawal moga keajaiban amin 🤲 🏻,positive
slow gembira anak boleh sekolah,positive
alhamdulli ayuh rakyat malaysia single digit doa lari jalan merangkak esa jaga sop beat jaga no matter race religion spread love kindness care kesusahan,positive
jangan pilihanraya kes menurun punca pkp kali jadi ahli politik diam kacau negara,negative
orag berterabur melepak salahkan diri tak risau,negative
lulled false sense security testing dropped drastically numbers dropped,neutral
kluster warga asing corona naik percaya banyak industri perkilangan banyak perkerjaan asing tsunami negara virus rebak jadi tunggu hantar pulang negara selamatkan negara bau daun kari pengotorkan nama malaysia,negative
alhamdulillah turun syabas patuh sop keluar hanya bila patuh sop kerja awam tidak mengaparlu kerajaan paksa patuh sop,positive
jaringan gol minit negeri menentang kemenangan brgaya ngeri emas milik negeri hanya pingat tahniah,neutral
time pkp masa sembur sanitaizer kes tinggi negera sekurng mncegah merebak duduk sibuk saman roadblock tak buang masa keluar masuk negeri daerah,negative
negeri add red zone mco many cases,negative
shame malaysian guys plan college school cant open restaurants mall etc open total lockdown see results use commen sense,negative
alamak ligan juara mataii kitaa 🤦 🤦 🤦 🤦 🤦 🤦,negative
tips krgkan kes jangan swab test deman duduk diam kp umah,neutral
kekalkan sekatan rentas negeri turun kes digit negeri zon hijau kerja keras putuskan rantaian covid moga hapuskan virus dunia bumi malaysia ameen 🤲 🏻,positive
alhamdulillah penurunan semoga turun kes masa,positive
positif bukan sikit kkm simpan kkm tunjukkan thanan covid,negative
sekolah esok buka aktiviti sosial bertambah berkadar jangkitan kes minggu setahun boleh trend budak sekolah kawasan sekolah boleh kawal sop tapi van bas tanda,neutral
alhamdulillah turun angka berbanding ribu moga cepat turun,positive
alhamdulillah kes turun penting jaga sop kambing sop ayam sop tulang sop belut boleh penting ekonomi dipacu pakar kewangan sekat rentas negeri daerah bangkrap,neutral
kes aktif tak turun kes lerr,negative
alhamdulillah syukur 🤲 semoga kes menghilang menyambut kedatangan ramadhan kali,positive
meninggal akibat sakit tua tapi caj sakit covid pishang,negative
inshal rahmat pertolongan virus covid menurun hilang bumi malaysia,positive
hentikan aktiviti percutian kenduri jaga sop masyarakat bertanggung memutuskan rangkaian kuman tidak nampak,positive
tidak sabar tengok result minggu cameron sambut new year,negative
alhamdulillah penurunan harap beraya,positive
alhmdulil harap turun boleh mymbut ibdah puasa tenang,positive
angka bertambah naik tidak mengaparasankan helok pkp balik baru duduk diam rumah baru menurun balik bebas kesana rentas negeri bercuti sampai bila tidak habis kes bertambah teruk gamaknya,negative
